Extraction_Date,ord_week_nmb,Site_Name,TCIN,Product_ID,,Product_Name,Regular_price,Regular_Price_Range,Shipping,disc_perc,markdown_price,final_price,Product_Description,availability,additional_information,price_promo,Unique_Key
22-07-2013,34,Amazon,14496882,B003MU9JXY,0,Lewis N. Clark Travel Compression Socks,16.3,n/a,4.98,0,0,16.3,n/a,Yes,n/a,n/a,34 B003MU9JXY
22-07-2013,34,Amazon,14496877,B003MU9K2Y,0,Lewis N. Clark Folding Document Organizer,9.99,n/a,4.98,0,0,9.99,n/a,Yes,& FREE Shipping and Free Returns.,n/a,34 B003MU9K2Y
22-07-2013,34,Amazon,13847648,B003S4BVDK,0,Rockland Luggage Skate Wheels 4 Piece Luggage Set,111.99,n/a,0,0,111.99,111.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $107.01 (49%),34 B003S4BVDK
22-07-2013,34,Amazon,14502776,B003S4C058,0,Rockland Luggage Polo Explorer 4 Piece Luggage Set,141.5,n/a,0,0,141.5,141.5,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $308.50 (69%),34 B003S4C058
22-07-2013,34,Amazon,14502767,B003S4D9IK,0,Rockland Luggage Polo Explorer 4 Piece Luggage Set,151.94,n/a,0,0,151.94,151.94,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $298.06 (66%),34 B003S4D9IK
22-07-2013,34,Amazon,14502775,B003S4FBKO,0,Rockland Luggage Polo Explorer 4 Piece Luggage Set,127.22,n/a,0,0,127.22,127.22,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $322.78 (72%),34 B003S4FBKO
22-07-2013,34,Amazon,10944873,B003SMJCE2,0,US Traveler Rio Two Piece Expandable Carry-On Luggage Set,40.06,n/a,0,0,40.06,40.06,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $9.93 (20%),34 B003SMJCE2
22-07-2013,34,Amazon,12931414,B003U80RRA,0,Traveler's Choice Luggage Toronto Three Piece Hardside Spinner Luggage,143.59,n/a,0,0,143.59,143.59,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $56.40 (28%),34 B003U80RRA
22-07-2013,34,Amazon,13004545,B003U8HHAA,0,Travelers Choice Siena 2-In-1 Hybrid Hard-Shell Carry-On Wheeled Garment Suitcase,60.47,n/a,0,0,60.47,60.47,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $29.52 (33%),34 B003U8HHAA
22-07-2013,34,Amazon,13618434,B003VGVJD2,0,McKlein USA V Series Flournoy Leather Double Compartment Laptop Case,110.31,n/a,0,0,110.31,110.31,n/a,Yes,& FREE Shipping.,You Save: $74.69 (40%),34 B003VGVJD2
22-07-2013,34,Amazon,11261186,B003XIL34S,0,Rockland Luggage Luca Vergani 2 Piece Cosmetic Set,33.59,n/a,0,0,33.59,33.59,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $41.41 (55%),34 B003XIL34S
22-07-2013,34,Amazon,12937451,B003XVVWWS,0,Sumdex DigiPod Stretch iPod/iPhone/Smart Phone Case,13.26,n/a,5.58,0,0,13.26,n/a,Yes,& FREE Shipping on orders over $25.,n/a,34 B003XVVWWS
22-07-2013,34,Amazon,12937455,B003XVVX0O,0,Sumdex DigiPod Stretch iPod/iPhone/Smart Phone Case,13.1,n/a,5.58,0,13.1,13.1,n/a,Yes,& FREE Shipping on orders over $25.,You Save: $6.85 (34%),34 B003XVVX0O
22-07-2013,34,Amazon,12937452,B003XW1Y7U,0,Sumdex DigiPod Stretch iPod/iPhone/Smart Phone Case,13.26,n/a,5.58,0,0,13.26,n/a,Yes,& FREE Shipping on orders over $25.,n/a,34 B003XW1Y7U
22-07-2013,34,Amazon,12937446,B003XW25IM,0,Sumdex Computer Backpack - 15.6,29.79,n/a,0,0,29.79,29.79,n/a,Yes,& FREE Shipping.,You Save: $10.16 (25%),34 B003XW25IM
22-07-2013,34,Amazon,12937448,B003XW6WEU,0,Sumdex Computer Backpack - 15.6,30.21,n/a,0,0,30.21,30.21,n/a,Yes,& FREE Shipping.,You Save: $9.74 (24%),34 B003XW6WEU
22-07-2013,34,Amazon,14502768,B004554DT0,0,Rockland Luggage Rome Polycarbonate 3 Piece Luggage Set,139.99,n/a,0,0,139.99,139.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $340.01 (71%),34 B004554DT0
22-07-2013,34,Amazon,14502770,B0045563SE,0,Rockland Luggage Rome Polycarbonate 3 Piece Luggage Set,139.99,n/a,0,0,139.99,139.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $340.01 (71%),34 B0045563SE
22-07-2013,34,Amazon,14508430,B0045WJME4,0,Rockland 4 Piece Luggage Set,99.99,n/a,0,0,99.99,99.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $140.00 (58%),34 B0045WJME4
22-07-2013,34,Amazon,14508278,B0045WLD46,0,Rockland Luggage 4 Piece Luggage Set,84.47,n/a,0,0,84.47,84.47,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $155.52 (65%),34 B0045WLD46
22-07-2013,34,Amazon,13726148,B004A9F8Y0,0,Rockland Luggage 4 Piece Luggage Set,84.47,n/a,0,0,84.47,84.47,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $155.52 (65%),34 B004A9F8Y0
22-07-2013,34,Amazon,13726139,B004A9HFGO,0,Rockland Luggage 4 Piece Luggage Set,99,n/a,0,0,99,99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $140.99 (59%),34 B004A9HFGO
22-07-2013,34,Amazon,13259618,B004A9HFIW,0,Rockland 4 Piece Luggage Set,99.99,n/a,0,0,99.99,99.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $140.00 (58%),34 B004A9HFIW
22-07-2013,34,Amazon,13460899,B004B0CI0U,0,"Sumdex 16"" Notebook Brief",26.83,n/a,0,0,0,26.83,n/a,Yes,n/a,n/a,34 B004B0CI0U
22-07-2013,34,Amazon,13460904,B004B0FDKM,0,"Sumdex 13"" Notebook Brief",22.62,n/a,5.93,0,22.62,22.62,n/a,Yes,& FREE Shipping on orders over $25.,You Save: $17.33 (43%),34 B004B0FDKM
22-07-2013,34,Amazon,12733048,B004C0S0CO,0,Wildkin Camouflage Sidekick Backpack,25.71,n/a,0,0,25.71,25.71,n/a,Yes,& FREE Shipping.,You Save: $4.28 (14%),34 B004C0S0CO
22-07-2013,34,Amazon,13004558,B004E0Z3QS,0,Travelers Choice Luggage Vienna Traditional Rolling Garment Bag,65.48,n/a,0,0,65.48,65.48,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $34.51 (35%),34 B004E0Z3QS
22-07-2013,34,Amazon,14502497,B004FMAY32,0,Rockland Luggage Fusion 3 Piece Set,129.99,n/a,0,0,129.99,129.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $350.00 (73%),34 B004FMAY32
22-07-2013,34,Amazon,14502646,B004FMB11G,0,Rockland Luggage Fusion 3 Piece Set,129.13,n/a,0,0,129.13,129.13,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $350.86 (73%),34 B004FMB11G
22-07-2013,34,Amazon,14502495,B004FMC71E,0,Rockland Luggage Fusion 3 Piece Set,126.99,n/a,0,0,126.99,126.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $353.00 (74%),34 B004FMC71E
22-07-2013,34,Amazon,14502649,B004FMEDNO,0,Rockland Luggage Fusion 3 Piece Set,129.99,n/a,0,0,0,129.99,n/a,Yes,n/a,n/a,34 B004FMEDNO
22-07-2013,34,Amazon,14502493,B004FMFTTG,0,Rockland Luggage Fusion 3 Piece Set,129.99,n/a,0,0,129.99,129.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $350.00 (73%),34 B004FMFTTG
22-07-2013,34,Amazon,14502494,B004FMFURC,0,Rockland Luggage Fusion 3 Piece Set,126.63,n/a,0,0,0,126.63,n/a,Yes,n/a,n/a,34 B004FMFURC
22-07-2013,34,Amazon,14502496,B004FMJMJO,0,Rockland Luggage Fusion 3 Piece Set,129.99,n/a,0,0,129.99,129.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $350.00 (73%),34 B004FMJMJO
22-07-2013,34,Amazon,14502648,B004FMJNZW,0,Rockland Luggage Fusion 3 Piece Set,142.52,n/a,0,0,0,142.52,n/a,Yes,n/a,n/a,34 B004FMJNZW
22-07-2013,34,Amazon,14112232,B004GE67M6,0,SOLO Vector Collection Laptop Messenger Bag (VTR525-4/28),35.57,n/a,0,0,35.57,35.57,"Energy and edge in a look that complements your all around individual style. A growing segment of savvy young working professionals are craving it and you got it with Vector. The stay flat padded compartment holds laptops up to 17.3 inches or sits flat against the wall when not in use for added interior storage space. Plus, the large interior can hold books, files, and just about any other items you may need. A zippered organizer under the front flap holds keys, pens, business cards and other laptop accessories. Solo's ICtrl cord management keeps cords and/or USB cable wrapped and organized. A large zippered pocket on the front flap provides quick access for things you need in transit. Velcro and speed buckle closure keeps your belongings safe and secure. Plus, a headphone pocket on the front of the case stores your headphones when not in use. A back compartment with Velcro closure provides a location for documents and magazines. Mesh side pockets provide fast access to umbrella and ot",Yes,& FREE Shipping.,You Save: $14.42 (29%),34 B004GE67M6
22-07-2013,34,Amazon,13760824,B004HCECV0,0,Travel Smart by Conair RFID Blocking Security Wallet,8.14,n/a,5.11,0,8.14,8.14,Protects your identity while traveling with rfid blocking feature that helps to prevent identity theft by blocking unauthorized scans.,Yes,($8.14 / counts) & FREE Shipping on orders over $25.,You Save: $3.85 (32%),34 B004HCECV0
22-07-2013,34,Amazon,13295815,B004HKQKEY,0,"Rockland Luggage Rolling 22"" Duffle Bag",29.55,n/a,0,0,29.55,29.55,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $39.45 (57%),34 B004HKQKEY
22-07-2013,34,Amazon,13295789,B004HKSF7O,0,"Rockland Luggage Rolling 22"" Duffle Bag",29.55,n/a,0,0,29.55,29.55,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $39.45 (57%),34 B004HKSF7O
22-07-2013,34,Amazon,13295701,B004HKWBRE,0,"Rockland Luggage 20"" Polycarbonate carry-on Luggage",64.99,n/a,0,0,64.99,64.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $95.01 (59%),34 B004HKWBRE
22-07-2013,34,Amazon,13295711,B004HKWC9G,0,"Rockland Luggage Rolling 22"" Duffle Bag",29.55,n/a,0,0,29.55,29.55,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $39.45 (57%),34 B004HKWC9G
22-07-2013,34,Amazon,11261182,B004HKY8KC,1,"Rockland Luggage Rolling 22"" Duffle Bag",29.55,n/a,0,0,29.55,29.55,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $39.45 (57%),34 B004HKY8KC
22-07-2013,34,Amazon,13295707,B004HKY8KC,0,"Rockland Luggage Rolling 22"" Duffle Bag",29.55,n/a,0,0,29.55,29.55,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $39.45 (57%),34 B004HKY8KC
22-07-2013,34,Amazon,13295784,B004HKY9ZQ,0,"Rockland Luggage Rolling 22"" Duffle Bag",30.99,n/a,0,0,30.99,30.99,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $38.01 (55%),34 B004HKY9ZQ
22-07-2013,34,Amazon,13295788,B004HKYA6O,0,"Rockland Luggage 20"" Polycarbonate carry-on Luggage",61.18,n/a,0,0,61.18,61.18,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $98.82 (62%),34 B004HKYA6O
22-07-2013,34,Amazon,13618421,B004IP1AWU,0,McKlein USA Daley Leather Attache Case,97.88,n/a,0,0,97.88,97.88,n/a,Yes,& FREE Shipping.,You Save: $2.11 (2%),34 B004IP1AWU
22-07-2013,34,Amazon,13618428,B004IPLP1G,0,McKlein USA Lawson Leather Attache Case,93.18,n/a,0,0,93.18,93.18,n/a,Yes,& FREE Shipping.,You Save: $116.82 (56%),34 B004IPLP1G
22-07-2013,34,Amazon,13726143,B004MHP9HG,0,Rockland Luggage 4 Piece Luggage Set,84.47,n/a,0,0,84.47,84.47,n/a,Yes,& FREE Shipping and Free Returns.,You Save: $155.52 (65%),34 B004MHP9HG
22-07-2013,34,Amazon,13561664,B004N89OKW,0,Wildkin Retro Kickstart Messenger Bag,22.51,n/a,5.69,0,22.51,22.51,n/a,Yes,& FREE Shipping on orders over $25.,You Save: $7.48 (25%),34 B004N89OKW
22-07-2013,34,Amazon,13561679,B004N8F3MU,0,Wildkin Sidekick Backpack,23.85,n/a,4.58,0,23.85,23.85,"Features:Measures 15"" x 12"" x 7"" Extra-durable 600-denier polyester fabric Padded back for extra comfort Interior moisture-resistant nylon lining Adjustable padded straps Interior utility pockets and pencil holder Embroidery friendly Matching accessories available for most patterns Sized for ages 3+Pattern Description: A festival of heroic lights. This playful pattern pays tribute to our valiant fire, police, and rescue men and women. An Olive Kids design, the Heroes pattern features utterly unique renditions of fire, police, and emergency vehicles on a rich blue background.Product Description: Our Sidekick Backpacks makes school more fun. The durable exterior can stand up to just about anything even homework. And the roomy interior helps keep school work organized. Matching Lunch Boxes and Pencil Cases available in most styles. One-year manufacturer's warranty against defects - normal wear-and-tear, and misuse excluded. Rigorously tested to ensure that all parts are lead-free, bpa-fre",Yes,& FREE Shipping on orders over $25.,You Save: $6.14 (20%),34 B004N8F3MU
