week_nmb,Unique_Pdt_Identifier_Mainpdt,Amz_rating1,Amz_rating2,Amz_rating3,Amz_rating4,Amz_rating5,Amz_Review_count,Amz_Avg_rating
-97,B00061NLCW,0,0,0,0,1,1,5
-82,B00061NLCW,0,0,0,0,1,1,5
-81,B00061NLCW,0,1,0,0,0,1,2
-75,B00061NLCW,0,0,0,1,0,1,4
-74,B00061NLCW,0,0,0,1,0,1,4
-70,B00061NLCW,0,0,0,1,0,1,4
-66,B00061NLCW,1,0,0,0,0,1,1
-60,B00061NLCW,0,0,0,0,1,1,5
-57,B00061NLCW,0,1,0,0,0,1,2
-50,B00061NLCW,0,0,0,0,1,1,5
-47,B00061NLCW,0,0,0,1,0,1,4
-42,B00061NLCW,0,0,0,1,0,1,4
-37,B00061NLCW,0,0,0,0,1,1,5
-32,B00061NLCW,0,0,0,0,1,1,5
-26,B00061NLCW,0,0,0,1,0,1,4
-22,B00061NLCW,0,0,1,0,0,1,3
-21,B00061NLCW,0,0,0,0,2,2,5
-20,B00061NLCW,0,0,0,0,1,1,5
-14,B00061NLCW,1,0,0,0,0,1,1
-9,B00061NLCW,0,0,0,1,0,1,4
-8,B00061NLCW,2,0,0,0,0,2,1
-7,B00061NLCW,0,0,1,0,0,1,3
-5,B00061NLCW,0,0,0,2,0,2,4
-3,B00061NLCW,0,0,0,0,1,1,5
-2,B00061NLCW,0,0,1,0,0,1,3
-1,B00061NLCW,0,0,0,0,1,1,5
0,B00061NLCW,0,0,0,1,0,1,4
1,B00061NLCW,0,0,0,1,0,1,4
2,B00061NLCW,0,0,1,2,0,3,3.666666667
4,B00061NLCW,1,0,0,0,1,2,3
5,B00061NLCW,0,0,0,0,2,2,5
6,B00061NLCW,1,0,0,1,1,3,3.333333333
8,B00061NLCW,0,0,0,0,2,2,5
9,B00061NLCW,1,0,0,0,0,1,1
10,B00061NLCW,1,0,0,0,0,1,1
11,B00061NLCW,0,0,1,1,0,2,3.5
12,B00061NLCW,0,0,0,0,1,1,5
17,B00061NLCW,0,2,0,0,0,2,2
20,B00061NLCW,0,0,0,1,0,1,4
21,B00061NLCW,0,0,1,0,0,1,3
25,B00061NLCW,1,0,0,0,0,1,1
28,B00061NLCW,0,0,0,0,1,1,5
31,B00061NLCW,1,0,0,0,1,2,3
32,B00061NLCW,0,0,0,1,0,1,4
34,B00061NLCW,0,0,0,0,1,1,5
35,B00061NLCW,1,0,0,0,0,1,1
36,B00061NLCW,1,0,0,0,0,1,1
37,B00061NLCW,0,0,0,1,0,1,4
39,B00061NLCW,0,0,1,0,0,1,3
40,B00061NLCW,0,0,1,1,0,2,3.5
41,B00061NLCW,0,0,0,1,0,1,4
42,B00061NLCW,0,0,0,0,1,1,5
43,B00061NLCW,0,0,0,1,0,1,4
46,B00061NLCW,0,1,0,1,0,2,3
50,B00061NLCW,0,0,0,1,1,2,4.5
51,B00061NLCW,0,0,1,0,2,3,4.333333333
-255,B00061W89E,0,0,0,0,1,1,5
-150,B00061W89E,0,0,1,0,0,1,3
-148,B00061W89E,0,0,0,1,0,1,4
9,B00061W89E,0,0,0,1,0,1,4
45,B00061W89E,1,0,0,0,0,1,1
-303,B00061W8F8,0,0,0,0,1,1,5
-172,B00061W8F8,0,0,0,1,0,1,4
-143,B00061W8F8,0,0,0,1,0,1,4
-142,B00061W8F8,0,0,0,0,1,1,5
-135,B00061W8F8,0,0,0,1,0,1,4
-126,B00061W8F8,0,0,1,0,1,2,4
-116,B00061W8F8,0,0,1,1,0,2,3.5
-110,B00061W8F8,0,1,0,0,0,1,2
-104,B00061W8F8,0,0,0,0,1,1,5
-98,B00061W8F8,0,0,0,0,1,1,5
-91,B00061W8F8,0,0,0,1,0,1,4
-84,B00061W8F8,0,0,0,1,0,1,4
-83,B00061W8F8,0,0,1,0,0,1,3
-82,B00061W8F8,0,0,0,1,0,1,4
-81,B00061W8F8,0,1,0,0,1,2,3.5
-79,B00061W8F8,0,0,0,0,2,2,5
-69,B00061W8F8,0,0,0,1,0,1,4
-68,B00061W8F8,0,0,0,0,1,1,5
-65,B00061W8F8,0,0,0,0,1,1,5
-64,B00061W8F8,0,0,0,1,0,1,4
-61,B00061W8F8,0,0,0,0,1,1,5
-51,B00061W8F8,0,1,0,0,1,2,3.5
-44,B00061W8F8,0,0,0,1,0,1,4
-40,B00061W8F8,0,0,0,0,1,1,5
-37,B00061W8F8,0,0,0,1,0,1,4
-35,B00061W8F8,0,0,1,1,0,2,3.5
-34,B00061W8F8,1,0,0,0,0,1,1
-33,B00061W8F8,0,0,0,0,2,2,5
-23,B00061W8F8,0,0,0,0,1,1,5
-18,B00061W8F8,0,0,0,0,1,1,5
-17,B00061W8F8,0,0,0,0,1,1,5
-14,B00061W8F8,0,0,0,0,1,1,5
-12,B00061W8F8,0,0,1,0,0,1,3
-10,B00061W8F8,0,0,0,1,0,1,4
-4,B00061W8F8,0,0,0,0,1,1,5
-1,B00061W8F8,0,0,1,0,0,1,3
1,B00061W8F8,0,0,1,0,0,1,3
2,B00061W8F8,0,0,1,0,0,1,3
3,B00061W8F8,0,0,0,0,1,1,5
5,B00061W8F8,0,0,0,2,2,4,4.5
