Extraction_Date,ord_week_nmb,Site_Name,TCIN,amazon_product_ID,amazon_product_name,amazon_Regular_price,Regular_Price_Range,amazon_Shipping,amazon_disc_perc,amazon_markdown_price,amazon_final_price,amazon_Product_Description,amazon_availability,amazon_additional_info,amazon_price_promo
03-12-2012,1,Amazon,11262220,B001DJ4R4M,Siamod Vernazza Collection San Francesco Leather Messenger Bag,127.34,n/a,0,0,127.34,127.34,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $202.66 (61%)
03-12-2012,1,Amazon,11262223,B001DIXUVE,Siamod Manarola Collection Signorini Double Compartment Laptop Case,165.27,n/a,0,0,0,165.27,n/a,Yes,n/a,n/a
03-12-2012,1,Amazon,11281815,B002AKKGE8,Sumdex Aircube Thermoplastic Urethane and Neoprene Notebook Sleeve for up to 17-Inch Notebook Computer (Black),29.12,n/a,0,0,0,29.12,"New AirCube sleeve for notetbook computers up to 17"" screensize. TPU (Thermaplastic Urethane) molded technology air cell and neoprene protection for notetbook computers. Easy view ""Check-Quick"" checkpoint ready design for fast security clearance in airports and buildings",Yes,n/a,n/a
03-12-2012,1,Amazon,11285203,B0012EFDDM,NCAA Mississippi State Bulldogs Team Backpack,34.99,n/a,0,0,0,34.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11285524,B0012EFCO2,NCAA Arizona State Sun Devils Team Backpack,34.99,n/a,0,0,0,34.99,"Take your pride to college or wherever you go! Main compartment provides ample storage for books in addition to a padded area that will hold up to a 17-Inch laptop. Pockets for MP3 player, keys, water bottles, pens, etc.",Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11285539,B0012EE1SK,NCAA Kansas State Wildcats Team Backpack,49.95,n/a,0,0,0,49.95,"Take your pride to college or wherever you go! Main compartment provides ample storage for books in addition to a padded area that will hold up to a 17-Inch laptop. Pockets for MP3 player, keys, water bottles, pens, etc.",Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11285543,B0012E8KCS,NCAA Michigan Wolverines Team Backpack,29.99,n/a,0,0,0,29.99,n/a,Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11285545,B0012EFDEG,NCAA Nebraska Cornhuskers Team Backpack,34.99,n/a,0,0,0,34.99,"Take your pride to college or wherever you go! Main compartment provides ample storage for books in addition to a padded area that will hold up to a 17-Inch laptop. Pockets for MP3 player, keys, water bottles, pens, etc.",Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11285556,B0012EFFDA,NCAA Wisconsin Badgers Team Backpack,34.99,n/a,0,0,0,34.99,"Take your pride to college or wherever you go! Main compartment provides ample storage for books in addition to a padded area that will hold up to a 17-Inch laptop. Pockets for MP3 player, keys, water bottles, pens, etc.",Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11285614,B0012EC7HM,NCAA Louisiana Lafayette Ragin Cajuns Team Backpack,29.32,n/a,0,0,29.32,29.32,"Take your pride to college or wherever you go! Main compartment provides ample storage for books in addition to a padded area that will hold up to a 17-Inch laptop. Pockets for MP3 player, keys, water bottles, pens, etc.",Yes,& this item ships for FREE with Super Saver Shipping.,You Save: $20.63 (41%)
03-12-2012,1,Amazon,11285630,B001GPXMHG,NCAA Virginia Cavaliers Team Backpack,49.95,n/a,0,0,0,49.95,"Take your pride to college or wherever you go! Main compartment provides ample storage for books in addition to a padded area that will hold up to a 17-Inch laptop. Pockets for MP3 player, keys, water bottles, pens, etc.",Yes,& this item ships for FREE with Super Saver Shipping.,n/a
03-12-2012,1,Amazon,11457886,B002ONBSXY,Leatherbay Women's Croc-Embossed Accordion Wallet,60.64,n/a,0,0,60.64,60.64,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $24.31 (29%)
03-12-2012,1,Amazon,11457889,B002ONBSRA,Leatherbay Tri Fold Leather Wallet,45.42,n/a,0,0,45.42,45.42,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $14.53 (24%)
03-12-2012,1,Amazon,11457891,B001J9Q3QQ,Leatherbay Laptop Leather Backpack,209.51,n/a,0,0,209.51,209.51,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $120.44 (37%)
03-12-2012,1,Amazon,11457892,B001I3P75G,Leatherbay Leather Backpack with Pockets,190.52,n/a,0,0,190.52,190.52,n/a,Yes,& this item ships for FREE with Super Saver Shipping and Free Returns.,You Save: $104.43 (35%)
