net_Sales,amazon_Shipping,kohl_final_price,kohl_Shipping,Target_Shipping,TCIN_var,kohl_pdt_desc_length,Availability,Price_diff_amazon_final_pr,Price_diff_target_final_pr,Price_rat_amazon_final_pr,Price_rat_amazon_reg_pr,Price_rat_target_reg_pr,Recency_week,Amz_No_of_images,Amz_Not_User_Gen_images,Amz_pdt_desc_length,Amz_rating5,Amz_Review_count,Amz_Total_negative_sent_score,Amz_Total_Positive_sent_score,Amz_User_Generated_images,kohls_Number_of_images,Neg_tot_wt_score,pos_avg_wt_score,reviews_1_M,reviews_3_M,reviews_6_M,Target_pdt_desc_length,Total_sentiment_score
0.693147181,0,5.426710581,0,0,0,3.36729583,0.693147181,5.825764091,5.036887665,0.783610497,1.223045352,1.153378235,2.397895273,2.564949357,2.564949357,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.32256524,NA
0.693147181,0,5.426710581,0,0,1.609437912,3.36729583,0.693147181,5.880225677,5.036887665,0.895956673,1.365622284,1.153378235,2.397895273,2.564949357,2.564949357,3,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,6.34738921,NA
0.693147181,0,5.426710581,0,0,0,3.663561646,0.693147181,5.877819812,5.036887665,0.890420054,1.358694213,1.153378235,2.397895273,2.564949357,2.564949357,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6.142037406,NA
0.693147181,NA,5.094670023,0,0,0,4.077537444,0.693147181,NA,4.300545393,NA,NA,0.188271116,2.833213344,NA,NA,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6.520621128,NA
0.693147181,0,5.17840707,0,0,0,3.761200116,0.693147181,5.780620051,4.290322445,0.822083248,0.63526082,0.184530769,2.833213344,2.197224577,2.197224577,531,NA,NA,NA,NA,0,2.079441542,NA,NA,NA,NA,NA,6.501289671,NA
0.693147181,0,5.255670792,0,0,0,3.784189634,0.693147181,5.754000191,4.279993909,0.729355632,0.516062612,0.181326683,2.833213344,1.098612289,1.098612289,3,2.890371758,2.995732274,4.624972813,4.394449155,0,0,1.791759469,0,1.098612289,1.609437912,2.197224577,6.584791392,4.49980967
0.693147181,0,5.553540811,0,0,1.098612289,4.394449155,0.693147181,5.904625882,4.230331271,0.861694579,0.685258943,0.170925459,0.693147181,3.36729583,3.36729583,3,NA,NA,NA,NA,0,2.995732274,NA,NA,NA,NA,NA,0,NA
0.693147181,0,5.120386158,0,0,0,3.688879454,0.693147181,4.795707898,4.932313327,0.09539351,0.018762396,1.020610785,2.833213344,2.302585093,2.302585093,3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA
0.693147181,NA,3.152736022,0,0,0,4.465908119,0.693147181,NA,3.891820298,NA,NA,0.13982719,2.833213344,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
0.693147181,0,4.708268144,0,0,0,4.882801923,0.693147181,5.611155359,3.941581808,0.618890928,0.369597328,0.04553829,3.610917913,1.791759469,1.791759469,3,1.791759469,2.079441542,4.624972813,3.218875825,0,NA,1.791759469,0,0.693147181,0.693147181,0.693147181,0,3.526360525
