"Product_ID","Staples_Final_Price","Amz_Final_Price","Google_Visits","Google_Revenue","Google_Order","Google_Unique_Visitors","Google_Aggr_Search_Vol","Google_Bounce_rate","Google_Cart_Views","Google_Shipping","Google_Visit_Freq","Google_OCPVisit","Google_OCPVisitor","SC_Visits","SC_Revenue","SC_Order","SC_Unique_Visitors","SC_Aggr_Search_Vol","SC_Bounce_rate","SC_Cart_Views","SC_Shipping","SC_Visit_Freq","SC_OCPVisit","SC_OCPVisitor","Direct_Visits","Direct_Revenue","Direct_Order","Direct_Unique_Visitors","Direct_Aggr_Search_Vol","Direct_Bounce_rate","Direct_Cart_Views","Direct_Shipping","Direct_Visit_Freq","Direct_OCPVisit","Direct_OCPVisitor","OA_Visits","OA_Revenue","OA_Orders","OA_Uniq_Visitor","OA_Aggr_Search_Vol","OA_Bounce_rate","OA_Cart_Views","OA_Shipping","OA_Visit_Freq","OA_OCPVisit","OA_OCPVisitor","Conversion","Conversion_Visitor","Price_Comp"
"611549",15.99,13.34,3150,28014.32,1075,3016,0,115.8,2642,0,413.74,6.66,6.91,6,163.16,3,6,0,1,6,0,6,3,3,7646,29393.13,3557,7279,0,146.86,8799,0,416.91,9.04,9.5,10802,57570.61,4635,10301,0,263.65,11447,0,836.65,8.33,8.73,0.43,0.45,1.2
"611556",16.02,13.27,1848,17519.46,819,1781,0,60.17,1702,0,403.97,8.58,8.87,4,43.17,2,4,0,0,13,0,4,2,2,5195,19730.86,2714,4936,0,65.5,6292,0,416.8,9.88,10.38,7047,37293.49,3535,6721,0,125.67,8007,0,824.77,9.52,9.97,0.5,0.53,1.21
"611562",15.99,13.37,2516,29964.63,1100,2405,0,90.11,2745,0,414.29,8.41,8.79,22,6599.67,17,20,0,2,35,0,20,2.2,2.87,6715,32480.45,3526,6347,0,69.53,9635,0,419.75,9.94,10.47,9253,69044.75,4643,8772,0,161.64,12415,0,854.07,9.52,10,0.5,0.53,1.2
"616044",33.51,33.49,5107,110363.1,2931,4701,0,36.72,5919,0,424.89,10.99,11.91,70,77.63,3,69,0,3,60,0,46.08,1.2,1.2,23686,223972.24,13624,21885,0,59.84,28695,0,429.33,11.23,12.14,28863,334412.97,16558,26655,0,99.57,34674,0,900.34,11.14,12.07,0.57,0.62,1
"617433",41.04,31.63,29461,86705.36,1643,28344,0,186.4,5955,0,412.25,1.07,1.12,775,2271.89,49,706,0,24.04,285,0,138.05,0.34,0.39,58364,104278.43,5500,54800,0,187.14,18302,0,420.87,1.79,1.89,88600,193255.68,7192,83850,0,397.55,24542,0,971.16,1.52,1.63,0.08,0.09,1.3
"618374",31.37,27.95,10865,138154.89,2556,10281,0,194.79,6979,0,419.94,4.45,4.7,87,202.62,6,83,0,1,53,0,56.59,1.16,1.22,27307,193239.04,9445,25792,0,202.07,24112,0,420.23,6.58,6.97,38259,331596.55,12007,36156,0,397.85,31144,0,896.77,5.95,6.31,0.31,0.33,1.12
"627963",33.99,26.27,3966,57929.92,1468,3775,0,66.83,4192,0,417.53,7.1,7.46,13,67.98,2,13,0,1,32,0,12,2,2,10869,55289.51,4977,10312,0,110.19,15471,0,417.3,8.69,9.13,14848,113287.41,6447,14100,0,178.02,19695,0,846.83,8.25,8.68,0.43,0.46,1.29
"638571",37.63,21.1,1394,8930.7,183,1354,0,19.17,73,0,121.94,2.91,3,0,0,0,0,0,0,0,0,0,0,0,2519,23141.2,472,2425,0,44.45,1201,0,395.78,4.12,4.3,3913,32071.9,655,3779,0,63.62,1274,0,517.74,3.67,3.85,0.17,0.17,1.78
"642736",8.43,7.21,24762,99610.4,8617,22996,0,195.98,20328,0,429.69,6.79,7.28,68,205.06,6,65,0,3,52,0,46,2.04,2.06,66496,151594.81,31463,61784,0,221.69,66527,0,426.91,9.19,9.88,91326,251410.27,40086,84845,0,420.67,86907,0,902.61,8.54,9.16,0.44,0.47,1.17
"648102",16.45,13.88,19663,104427.61,5066,18817,0,176.25,10025,0,416.48,5.53,5.77,75,62.46,3,75,0,1,24,0,39,0.67,0.67,48695,146204.33,16985,46095,0,214.92,34640,0,419.73,7.51,7.97,68433,250694.4,22054,64987,0,392.19,44689,0,875.2,6.92,7.31,0.32,0.34,1.19
"648103",16.45,13.35,14709,76175.98,3682,14078,0,174.75,7291,0,416.16,5.82,6.08,62,17.49,1,62,0,2,16,0,29,0.2,0.2,36482,106187.72,12568,34636,0,202.58,24926,0,419.39,7.92,8.36,51253,182381.19,16251,48776,0,379.32,32233,0,864.53,7.31,7.74,0.32,0.33,1.23
"648186",8.47,5.51,1672,1021.52,115,1621,0,129.14,494,0,383.77,1.41,1.45,12,304.47,3,12,0,1,7,0,12,2,2,2337,1607.89,403,2235,0,77.85,1484,0,408.28,3.27,3.41,4021,2933.88,521,3868,0,208,1985,0,804.08,2.52,2.62,0.13,0.13,1.54
"648370",24.96,22.62,13196,124930.09,3838,12683,0,176.55,10710,0,413.26,5.64,5.88,48,199.92,8,48,0,2,46,0,42,2.68,2.68,28127,133147.08,11501,26876,0,164.28,33383,0,415.03,7.89,8.24,41371,258277.09,15347,39607,0,342.85,44139,0,870.27,7.16,7.49,0.37,0.39,1.1
"648850",12.96,12.47,27028,121748.52,5140,26199,0,197.39,14800,0,409.48,3.71,3.82,94,116.91,8,92,0,7.5,48,0,76,0.96,0.97,40197,134093.93,15652,38359,0,176.66,43342,0,415.54,7.46,7.78,67319,255959.36,20800,64650,0,381.56,58190,0,901,5.95,6.2,0.31,0.32,1.04
"649692",266.26,232.34,7486,153982.52,494,7189,0,36.36,503,0,140.72,1.28,1.32,26,299.99,1,24,0,3,15,0,26,1,1,14720,546525.72,1739,14055,0,129.19,5529,0,415.77,2.28,2.39,22232,700808.23,2234,21268,0,168.56,6047,0,582.51,1.92,2.01,0.1,0.11,1.15
"653417",10.58,8.08,4259,20029.14,1383,4008,0,11.37,766,0,138.39,5.47,5.8,10,25.98,2,10,0,0,2,0,10,2,2,13367,79506.74,5358,12547,0,55.14,7680,0,421.01,7.05,7.52,17636,99561.86,6743,16565,0,66.51,8448,0,569.38,6.66,7.13,0.38,0.41,1.31
"654684",437.21,371.86,7108,89649.47,178,6850,0,42.94,226,0,139.45,0.48,0.53,85,0,0,83,0,4,7,0,77.5,0,0,13080,305333.88,635,12431,0,170.74,3397,0,416.54,0.95,0.98,20273,394983.35,813,19364,0,217.68,3630,0,633.5,0.75,0.77,0.04,0.04,1.18
"656499",96.38,88.19,8671,277253.11,2466,8328,0,190.37,6810,0,411.8,5.44,5.67,25,188.38,2,21,0,1,50,0,21,0.45,0.67,22269,367710.79,10208,20962,0,155.73,29168,0,420.67,8.67,9.21,30965,645152.28,12676,29311,0,347.12,36028,0,853.47,7.77,8.18,0.41,0.43,1.09
"656500",175.77,164.67,6244,268670.36,1476,5999,0,196.49,4323,0,409.73,4.71,4.87,18,351.98,2,18,0,5,2,0,17,0.66,0.66,16070,368613.85,6812,15049,0,141.47,19667,0,422.82,8.05,8.61,22332,637636.19,8290,21066,0,342.92,23992,0,849.55,7.12,7.53,0.37,0.39,1.07
"658923",21.38,21.26,5328,26910.37,1000,5116,0,139.21,2629,0,411.91,3.49,3.65,20,20.49,1,20,0,1,12,0,19,0.33,0.33,11682,36220.21,3548,10984,0,144.83,8667,0,420.21,5.74,6.1,17030,63151.07,4549,16120,0,285.03,11308,0,851.14,5.02,5.28,0.27,0.28,1.01
"665698",178.35,151.38,16543,756052.88,3768,15912,0,187.07,9722,0,412.33,4.35,4.52,42,1047.09,3,39,0,6,21,0,40,1.39,1.42,42204,1366791.49,17189,39991,0,177.2,43308,0,418.98,7.77,8.19,58789,2123891.46,20960,55942,0,370.28,53051,0,871.31,6.79,7.1,0.36,0.37,1.18
"665699",103.62,86.96,27618,1141885.1,8111,26421,0,189.74,20066,0,414.65,5.54,5.82,29,608.33,4,29,0,5,5,0,27,1.28,1.28,69541,1908639.4,33189,65457,0,168.97,78760,0,421.94,9.06,9.64,97188,3051132.83,41304,91907,0,363.7,98831,0,863.6,8.05,8.55,0.42,0.45,1.19
"679088",101.69,73.44,3560,121522.34,1113,3399,0,126.96,3936,0,413.66,6.02,6.27,8,101.99,1,8,0,0,8,0,7,1,1,9538,123735.75,4228,9047,0,148.79,13577,0,416.49,8.44,8.85,13106,245360.08,5342,12454,0,275.8,17521,0,837.14,7.77,8.14,0.41,0.43,1.38
"683795",143.47,128.92,10939,650562.93,4151,10376,0,278.92,11853,0,418.43,7.4,7.81,31,662.35,5,30,0,0,32,0,28,2.6,2.63,38516,920895.66,19268,36140,0,191.41,56203,0,422.57,9.55,10.16,49486,1572120.94,23424,46546,0,470.33,68088,0,869.01,9.07,9.63,0.47,0.5,1.11
"701218",70.87,55.12,25122,124124.12,1490,24039,0,42.74,1517,0,140.67,1.16,1.21,462,739.89,10,437,0,46.63,147,0,219.27,0.4,0.43,53893,535620.8,6114,51031,0,170.41,20436,0,417.55,2.14,2.26,79477,660484.81,7614,75507,0,259.76,22100,0,777.51,1.83,1.93,0.1,0.1,1.29
"712994",79.99,70.33,6978,180662.53,2008,6687,0,200.51,5546,0,412.36,5.51,5.76,15,79.99,1,14,0,5,3,0,14,0.5,0.5,17821,230367.8,8473,16836,0,200.82,22546,0,418.4,8.96,9.5,24814,411110.32,10482,23537,0,406.32,28095,0,844.76,7.99,8.42,0.42,0.45,1.14
"713993",47.33,34.9,7335,138320.02,2225,7024,0,195.48,5968,0,412.91,5.79,6.04,27,180.96,4,25,0,3,19,0,26,1.15,1.42,17414,156066.77,8083,16515,0,211.87,21047,0,416.72,8.88,9.35,24776,294567.75,10312,23564,0,410.35,27034,0,855.62,7.95,8.35,0.42,0.44,1.36
"721455",4.99,3.19,2583,3008.19,164,2521,0,55.94,173,0,137.14,1.26,1.28,4,0,0,4,0,0,0,0,4,0,0,4252,9005.85,522,4115,0,97.58,1401,0,406.71,2.4,2.47,6839,12014.04,686,6640,0,153.52,1574,0,547.86,1.91,2.01,0.1,0.1,1.57
"727093",14.78,12,877,10040.85,333,831,0,11.5,623,0,323.94,7.36,7.83,0,0,0,0,0,0,0,0,0,0,0,2349,27095.27,1023,2239,0,50.42,2040,0,407.96,8.33,8.78,3226,37136.12,1356,3070,0,61.92,2663,0,731.94,8.07,8.52,0.42,0.44,1.23
"727095",10.37,9.12,3871,22033.89,1039,3686,0,27,441,0,141.52,5.2,5.45,9,0,0,7,0,0,8,0,9,0,0,9220,76510.18,3672,8630,0,117.02,8191,0,424.25,7.63,8.15,13100,98544.07,4711,12323,0,144.01,8640,0,574.8,6.88,7.34,0.36,0.38,1.14
"731565",17.04,15.23,10881,28735.61,1189,10621,0,184.25,4138,0,406.88,2.22,2.23,69,99.94,4,66,0,2.5,59,0,57.5,0.6,0.67,17512,39996.47,4472,16925,0,161.98,15798,0,410.42,4.95,5.13,28462,68832.02,5665,27612,0,348.76,19995,0,874.77,3.89,4,0.2,0.21,1.12
"735273",72.99,63.3,2874,95567.66,1240,2737,0,126.83,3043,0,412.83,8.45,8.85,5,0,0,5,0,0,9,0,5,0,0,10036,124903.34,5263,9430,0,95.7,13256,0,420.05,9.97,10.62,12915,220471,6503,12172,0,222.53,16308,0,837.88,9.64,10.19,0.5,0.53,1.15
"735277",72.99,62.63,2846,93774.31,1224,2707,0,94.18,3054,0,409.16,8.33,8.74,6,0,0,6,0,1,4,0,6,0,0,10238,128123.05,5395,9619,0,77.4,13397,0,421.27,10.1,10.68,13090,221897.36,6619,12332,0,172.58,16455,0,836.42,9.7,10.24,0.51,0.54,1.17
"735291",72.99,62.96,3007,93094.76,1189,2875,0,113.17,2813,0,411.24,7.66,8.03,8,0,0,8,0,0,11,0,8,0,0,10457,127540.61,5381,9895,0,108.21,13686,0,417.84,9.8,10.33,13472,220635.37,6570,12778,0,221.37,16510,0,837.07,9.34,9.78,0.49,0.51,1.16
"735305",79.99,67.38,6861,173718.63,2053,6557,0,169.67,5168,0,414.2,5.84,6.09,19,79.99,1,19,0,6,21,0,19,0.25,0.25,17885,240360.28,8314,16962,0,175.94,21280,0,417.82,8.84,9.31,24765,414158.9,10368,23538,0,351.6,26469,0,850.99,8.01,8.39,0.42,0.44,1.19
"738002",17.02,14.71,952,6763.7,183,905,0,8,711,0,356.49,3.85,4,6,17.29,1,6,0,0,6,0,6,1,1,2266,10284.86,621,2171,0,37.29,1452,0,398.7,5.45,5.66,3224,17065.85,805,3082,0,45.29,2169,0,761.21,4.94,5.13,0.25,0.26,1.16
