Product,Product_ID,Category,Reviews_Q1,Reviews_Q2,Reviews_Q3,Reviews_Q4,Sales_Units
34904366 - DEMARINI CF7 Adult Fastpitch Softball Bat (-10) 2015,34904366,Baseball Bat,2,1,1,3,6
35083216 - EASTON Mako Big Barrel Baseball Bat (-10) 2015,35083216,Baseball Bat,0,2,1,0,5
35083296 - EASTON Mako Youth Baseball Bat (-11) 2015,35083296,Baseball Bat,0,7,9,5,58
"35083346 - EASTON S3 2 3/4"" Big Barrel Baseball Bat (-10) 2015",35083346,Baseball Bat,0,1,1,2,32
35083366 - EASTON XL3 Big Barrel Baseball Bat (-5) 2015,35083366,Baseball Bat,0,1,0,5,4
35083376 - EASTON Mako Junior Big Barrel Baseball Bat (-12) 2015,35083376,Baseball Bat,0,0,1,2,6
35119756 - EASTON Mako Torq Fastpitch Softball Bat (-10) 2015,35119756,Baseball Bat,0,1,0,1,2
35119766 - Easton Mako CXN Zero Fastpitch Softball Bat (-10) 2015,35119766,Baseball Bat,0,0,6,4,3
35599076 - LOUISVILLE SLUGGER C271 MLB Prime Maple Adult Wood Baseball Bat 2014,35599076,Baseball Bat,1,8,0,2,7
37682306 - RAWLINGS Velo RM271 Adult Wood Baseball Bat 2015,37682306,Baseball Bat,6,5,1,2,16
37807986 - LOUISVILLE SLUGGER BBCOR Prime 915 Baseball Bat (-3) 2015,37807986,Baseball Bat,0,5,3,3,69
37807996 - LOUISVILLE SLUGGER BBCOR Select 715,37807996,Baseball Bat,2,4,0,3,3
37808006 - LOUISVILLE SLUGGER BBCOR Omaha 515,37808006,Baseball Bat,1,3,2,4,17
37808036 - LOUISVILLE SLUGGER Omaha 515 Senior League Baseball Bat (-10) 2015,37808036,Baseball Bat,0,3,2,0,1
37808086 - LOUISVILLE SLUGGER Xeno Fastpitch Softball Bat (-11) 2015,37808086,Baseball Bat,0,6,11,18,3
37808096 - LOUISVILLE SLUGGER Xeno Fastpitch Softball Bat (-10) 2015,37808096,Baseball Bat,0,3,2,4,7
37808126 - LOUISVILLE SLUGGER X12 Fastpitch Softball Bat (-12) 2015,37808126,Baseball Bat,0,1,0,2,34
37843736 - EASTON S3 2 3/4 Big Barrel Baseball Bat 2014 (-10) ,37843736,Baseball Bat,0,1,1,0,99
