UgamID,Category_Path,Retailer,Division,Category,Department,Class,Subclass,Product_URL,Brand,Product_Name,Unique_Pdt_Identifier_Mainpdt,Unique_Product_Identifier_Variant,Final_Price_after_Discount,Extraction_Date,Review_Link,Review_Header,Review_Creation_Date,Review_From,Review_By,Review_Helpful_Votes,Review_Total_Votes,Review_Rating_Score,Review_Rating_Scale,Review_Reviewers_Badges,Review_Text,Review_Count_Of_Comments,Review_Verified_Purchase,Reviewer_Age,Reviewer_Gender,Review_Count,Product_reviews
LGKR0020,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130483/wildkin-horse-serious-backpack-kids.jsp?searchTerm=Wildkin%20Horses%20Serious%20Backpack,n/a,n/a,1130483,1130483,0,12/2/2013 18:45,http://reviews.kohls.com/9025/1130483/reviews.htm?format=embedded,ripped after not even a week,2/28/2013,westerville,misspants,1,1,1,5,n/a,My first grader brought it to school for 4 days \& it ripped. Very poorly made. Kohls was great about returning it.,n/a,n/a,25-34,n/a,1,1
LGKR0201,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1130532/wildkin-horse-dreams-crackerjack-backpack-kids.jsp,Wildkin,Wildkin Horse Dreams Crackerjack Backpack - Kids,1130532,1130532,36.99,12/2/2013 18:45,http://reviews.kohls.com/9025/1130532/reviews.htm?format=embedded,n/a,9/1/2012,Jacksonville,oakleyss,0,0,3,5,n/a,Zipper broke 2nd day of school.,n/a,n/a,35-44,n/a,1,1
LGKR0062,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1299176/rockland-polka-dot-wheeled-backpack.jsp,n/a,n/a,1299176,1299176,0,12/2/2013 18:47,http://reviews.kohls.com/9025/1299176/reviews.htm?format=embedded,broke,9/27/2013,n/a,kingc1,0,0,1,5,n/a,this backpack fell apart after 2 weeks of use!,n/a,n/a,n/a,n/a,1,1
LGKR0079,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309403/rockland-2-pc-luggage-set.jsp,Rockland,"Rockland Luggage, 2-pc. Luggage Set",1309403,1309403,59.99,12/2/2013 18:47,http://reviews.kohls.com/9025/1309403/reviews.htm?format=embedded,Rockland Luggage,4/22/2013,Woodstock,Blondie0458,0,0,5,5,n/a,"My luggage was shipped in a timely manner, arrived undamaged and to be perfectly honest, I love it. I used it for the first time this weekend. Perfect size, colors were just as they appeared online. Couldn't be happier!",n/a,n/a,55-65,n/a,1,1
LGKR0104,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309603/rockland-3-pc-spinner-luggage-set.jsp?pfx=pfx_shopcompare&src=k186085&clickid=0004dd760dd72a330a4278239b00282d,Rockland,"Rockland Luggage, 3-pc. Spinner Luggage Set",1309603,1309603,263.99,12/2/2013 18:48,http://reviews.kohls.com/9025/1309603/reviews.htm?format=embedded,Not good quality,3/17/2013,yorktown,dd1216,0,0,1,5,n/a,The first time we used this luggage the zipper broke. Looks nice but if the zipper breaks on the first time and it wasn't even full it not goodd quality.,n/a,n/a,45-54,n/a,1,1
LGKR0109,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309665/rockland-wheeled-duffel-bag.jsp,Rockland,"Rockland Luggage, Wheeled Duffel Bag",1309665,1309665,41.99,12/2/2013 18:48,http://reviews.kohls.com/9025/1309665/reviews.htm?format=embedded,Strong Chemical Smell - Returned to Store,3/7/2013,Michigan,KohlsShopperInMichigan,0,0,1,5,n/a,"These were the exact size/style rolling duffle bags that I was looking for but they smelled like chemicals. I took them out of the packaging and had to put them in a spare room w/ the door closed. They smelled up the whole house. I gave them about a month to ""air out"", but the smell was as strong as ever. I couldn't imagine putting my clothes in them for a trip. They were returned.",n/a,n/a,45-54,n/a,1,1
LGKR0133,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309812/rockland-wheeled-duffel-bag.jsp,Rockland,"Rockland Luggage, Wheeled Duffel Bag",1309812,1309812,64.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309812/reviews.htm?format=embedded,n/a,4/4/2013,n/a,falltree,0,0,5,5,n/a,n/a,n/a,n/a,55-65,n/a,1,1
LGKR0142,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309893/rockland-pink-polka-dot-duffel-bag.jsp,Rockland,Rockland Pink Polka-Dot Duffel Bag,1309893,1309893,23.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309893/reviews.htm?format=embedded,n/a,3/6/2013,Sudbury,Bema,0,0,2,5,n/a,I like the size of the bag and the different compartments...BUT The bag tore around the zipper as the fabric was not caught in the sewing.I mended it by hand but fear that it will not hold.,n/a,n/a,Over 65,n/a,1,1
LGKR0147,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-1309957/rockland-luggage-3-pc-wheeled-luggage-set.jsp?searchTerm=675478165133,Rockland,"Rockland Luggage, 3-pc. Wheeled Luggage Set",1309957,1309957,143.99,12/2/2013 18:49,http://reviews.kohls.com/9025/1309957/reviews.htm?format=embedded,Adorable,5/6/2013,Taneyville,teri645,0,0,5,5,n/a,"Haven't traveled with it yet, but love the look even more in person. Will be easy to find on luggage terminals. Sizes seem like they'll meet any airline size requirements. Not huge, but I always overpack so maybe this will help me take less extraneous stuff.",n/a,n/a,55-65,n/a,1,1
LGKR0155,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-392649/belle-hop-comfort-neck-pillow.jsp,Belle Hop,Belle Hop Comfort Neck Pillow,392649,392649,13.59,12/2/2013 18:49,http://reviews.kohls.com/9025/392649/reviews.htm?format=embedded,n/a,1/15/2012,n/a,floridateacher,0,0,4,5,n/a,n/a,n/a,n/a,55-65,n/a,1,1
LGKR0154,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-392620/lewis-n-clark-comfort-neck-pillow.jsp,Lewis N. Clark,Lewis N. Clark Comfort Neck Pillow,392620,392620,13.59,12/2/2013 18:49,http://reviews.kohls.com/9025/392620/reviews.htm?format=embedded,Great product.,11/25/2012,Danbury,LakeLadyWisconsin,0,0,4,5,n/a,"Soft and flexible, with enough support so my husband actually uses it to sleep better at night!",n/a,n/a,55-65,n/a,1,10
LGKR0154,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-392620/lewis-n-clark-comfort-neck-pillow.jsp,Lewis N. Clark,Lewis N. Clark Comfort Neck Pillow,392620,392620,13.59,12/2/2013 18:49,http://reviews.kohls.com/9025/392620/reviews.htm?format=embedded,My husband loves it!,2/26/2013,Yuma,jckemm,0,0,5,5,n/a,My husband falls asleep on the recliner (big surprize!) and would wake up with a neck ache. This pillow was the perfect answer to his problem!,n/a,n/a,55-65,n/a,1,10
LGKR0154,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-392620/lewis-n-clark-comfort-neck-pillow.jsp,Lewis N. Clark,Lewis N. Clark Comfort Neck Pillow,392620,392620,13.59,12/2/2013 18:49,http://reviews.kohls.com/9025/392620/reviews.htm?format=embedded,I trust Kohl's and what they have to offer.,4/7/2013,n/a,Happtman,0,0,4,5,n/a,I at times get a stiff neck. It makes it very hard to sleep with this pain in my neck. My wife went online at Kohl's and bought me a dark red pillow the U shape kind and I have to tell you that darn pillow works. It place it under my neck and it supported my neck very well enough for me to sleep. I would say if you have pain in your neck buy one from online Kohl's if don't work you can always send it back. I have the pillow for a month and I do sleep better.,n/a,n/a,n/a,n/a,1,10
LGKR0154,n/a,Kohls,n/a,n/a,n/a,n/a,n/a,http://www.kohls.com/product/prd-392620/lewis-n-clark-comfort-neck-pillow.jsp,Lewis N. Clark,Lewis N. Clark Comfort Neck Pillow,392620,392620,13.59,12/2/2013 18:49,http://reviews.kohls.com/9025/392620/reviews.htm?format=embedded,Comfortable,3/26/2013,gold canyon,ROSE51,0,0,5,5,n/a,It helps my neck when sitting up to sleep on the couch.,n/a,n/a,45-54,n/a,1,10
