Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price
51442,529,0,0,529,529,529,529,0,0,0,529,529,529,4.99,4.99,4.99,669,669,669,0,0,0,669,669,669,0,0,0
7924,199,13.04,7,185.96,199,199,199,0.07,0.07,0.07,185.96,185.96,185.96,0,0,0,215.53,215.53,215.53,0,0,0,215.53,215.53,215.53,0,0,0
881,199,25.12,13,173.88,199,199,199,0.13,0.13,0.13,173.88,173.88,173.88,0,0,0,189.99,189.99,189.99,0,0,0,189.99,189.99,189.99,30.49,30.49,30.49
37246,175,30,17,145,175,175,175,0.17,0.17,0.17,145,145,145,0,0,0,152.99,152.99,152.99,0,0,0,152.99,152.99,152.99,4.99,4.99,4.99
11001,175,30.02,17,144.98,175,175,175,0.17,0.17,0.17,144.98,144.98,144.98,0,0,0,163.65,163.65,163.65,0,0,0,163.65,163.65,163.65,0,0,0
26800,175,30,17,145,175,175,175,0.17,0.17,0.17,145,145,145,0,0,0,163.65,163.65,163.65,0,0,0,163.65,163.65,163.65,0,0,0
10466,175,30,17,145,175,175,175,0.17,0.17,0.17,145,145,145,0,0,0,163.65,163.65,163.65,0,0,0,163.65,163.65,163.65,0,0,0
14791,175,30,17,145,175,175,175,0.17,0.17,0.17,145,145,145,0,0,0,162.95,162.95,162.95,0,0,0,162.95,162.95,162.95,0,0,0
5121,249.99,27.35,11,222.64,249.99,249.99,249.99,0.11,0.11,0.11,222.64,222.64,222.64,4.99,4.99,4.99,314.65,314.65,314.65,0,0,0,314.65,314.65,314.65,49.95,49.95,49.95
8203,169.99,0,0,169.99,169.99,169.99,169.99,0,0,0,169.99,169.99,169.99,4.99,4.99,4.99,0,0,0,0,0,0,0,0,0,0,0,0
35646,279,36.78,13,242.22,279,279,279,0.13,0.13,0.13,242.22,242.22,242.22,0,0,0,244.85,244.85,244.85,0,0,0,244.85,244.85,244.85,0,0,0
38838,409,69.01,17,339.99,409,409,409,0.17,0.17,0.17,339.99,339.99,339.99,0,0,0,353.63,353.63,353.63,0,0,0,353.63,353.63,353.63,0,0,0
16957,279,41.01,15,237.99,279,279,279,0.15,0.15,0.15,237.99,237.99,237.99,0,0,0,289,289,289,0,0,0,289,289,289,0,0,0
20615,279,32.7,12,246.3,279,279,279,0.12,0.12,0.12,246.3,246.3,246.3,0,0,0,258.99,258.99,258.99,0,0,0,258.99,258.99,258.99,0,0,0
59608,429.99,0,0,429.99,429.99,429.99,429.99,0,0,0,429.99,429.99,429.99,4.99,4.99,4.99,599,599,599,0,0,0,599,599,599,0,0,0
24354,239.99,20.09,8,219.9,239.99,239.99,239.99,0.08,0.08,0.08,219.9,219.9,219.9,32.48,32.48,32.48,239.99,239.99,239.99,0.083711821,0.083711821,0.083711821,219.9,219.9,219.9,0,0,0
55050,279.99,80.09,29,199.9,279.99,279.99,279.99,0.29,0.29,0.29,199.9,199.9,199.9,4.99,4.99,4.99,199.9,199.9,199.9,0,0,0,199.9,199.9,199.9,0,0,0
