Final_sales_Rank,List_Price,Discount,Discount_pct,Final_Price_after_Discount,avg_Regular_price,min_Regular_price,max_Regular_price,avg_Disc_per,min_Disc_per,max_Disc_per,avg_final_price,min_final_price,max_final_price,avg_shipping_price,min_shipping_price,max_shipping_price,avg_amz_mkt_Regular_price,min_amz_mkt_Regular_price,max_amz_mkt_Regular_price,Avg_amz_mkt_disc_perc,min_amz_mkt_disc_perc,max_amz_mkt_disc_perc,avg_amz_mkt_final_price,min_amz_mkt_final_price,max_amz_mkt_final_price,avg_amz_mkt_shipping_price,min_amz_mkt_shipping_price,max_amz_mkt_shipping_price,Reviews_Count,Total_Average_Ratings,Number_of_images,Not_User_Generated_images,User_Generated_images,Avg_helpful_votes,Actual_avg_score,Avg_sentiment_score,Total_sentiment_score,Avg_Positive_sentiment_score,Total_Positive_sentiment_score,Avg_negative_sentiment_score,Total_negative_sentiment_score,Avg_Weighted_score,Total_weighted_score,Total_sub,pdt_desc_length,Saving_Dollar
8281,289.99,69,24,220.99,289.99,289.99,289.99,0.24,0.24,0.24,220.99,220.99,220.99,4.99,4.99,4.99,299.99,299.99,299.99,0.211707057,0.211707057,0.211707057,236.48,236.48,236.48,0,0,0,5,3.8,3,3,0,7.4,0.552238806,1.4,7,2.4,12,-1,-5,0.773134328,3.865671642,28,2948,63.5
55242,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49,17,4.6,20,20,0,0.647058824,0.578947368,3.294117647,56,3.294117647,56,0,0,1.907120743,32.42105263,37,2407,0
53031,336,5.51,2,330.49,336,336,336,0.02,0.02,0.02,330.49,330.49,330.49,0,0,0,323.71,323.71,323.71,0,0,0,323.71,323.71,323.71,0,0,0,13,3,19,19,0,0.461538462,0.545454546,2.076923077,27,2.461538462,32,-0.384615385,-5,1.132867133,14.72727273,33,2568,0
22269,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49,17,4.6,20,20,0,0.647058824,0.578947368,3.294117647,56,3.294117647,56,0,0,1.907120743,32.42105263,37,2406,0
21514,249.99,45,18,204.99,249.99,249.99,249.99,0.18,0.18,0.18,204.99,204.99,204.99,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49,17,4.6,20,20,0,0.647058824,0.578947368,3.294117647,56,3.294117647,56,0,0,1.907120743,32.42105263,37,2404,0
11854,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,253.48,253.48,253.48,0,0,0,253.48,253.48,253.48,6.49,6.49,6.49,17,4.6,20,20,0,0.647058824,0.578947368,3.294117647,56,3.294117647,56,0,0,1.907120743,32.42105263,37,2406,0
9257,229.99,34.5,15,195.49,229.99,229.99,229.99,0.15,0.15,0.15,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0,195.49,195.49,195.49,0,0,0,39,4.6,24,20,4,1.333333333,0.776119403,3.769230769,147,3.794871795,148,-0.025641026,-1,2.925373134,114.0895522,37,2578,0
10088,229.99,37.23,16,192.76,229.99,229.99,229.99,0.16,0.16,0.16,192.76,192.76,192.76,0,0,0,192.76,192.76,192.76,0,0,0,192.76,192.76,192.76,0,0,0,39,4.6,24,20,4,1.333333333,0.776119403,3.769230769,147,3.794871795,148,-0.025641026,-1,2.925373134,114.0895522,37,2578,0
28398,229.99,40.99,18,189,229.99,229.99,229.99,0.18,0.18,0.18,189,189,189,0,0,0,189,189,189,0,0,0,189,189,189,0,0,0,39,4.6,24,20,4,1.333333333,0.776119403,3.769230769,147,3.794871795,148,-0.025641026,-1,2.925373134,114.0895522,37,2579,0
19587,229.99,34.5,15,195.49,229.99,229.99,229.99,0.15,0.15,0.15,195.49,195.49,195.49,0,0,0,209.97,209.97,209.97,0,0,0,209.97,209.97,209.97,0,0,0,40,4.6,24,20,4,1.333333333,0.776119403,3.769230769,147,3.794871795,148,-0.025641026,-1,2.925373134,114.0895522,37,2576,0
21783,299,0,0,299,299,299,299,0,0,0,299,299,299,4.99,4.99,4.99,299,299,299,0,0,0,299,299,299,0,0,0,10,3.6,26,26,0,4.1,0.773584906,5.9,59,6.4,64,-0.5,-5,4.564150943,45.64150943,9,1304,0
14586,299,44.85,15,254.15,299,299,299,0.15,0.15,0.15,254.15,254.15,254.15,0,0,0,299,299,299,0,0,0,299,299,299,0,0,0,10,3.6,26,26,0,4.1,0.773584906,5.9,59,6.4,64,-0.5,-5,4.564150943,45.64150943,9,1300,0
16060,299,0,0,299,299,299,299,0,0,0,299,299,299,4.99,4.99,4.99,299,299,299,0,0,0,299,299,299,0,0,0,10,3.6,26,26,0,4.1,0.773584906,5.9,59,6.4,64,-0.5,-5,4.564150943,45.64150943,9,1301,0
6077,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,219.97,219.97,219.97,0,0,0,219.97,219.97,219.97,0,0,0,35,4.4,35,29,6,0.885714286,0.815789474,3.2,112,3.485714286,122,-0.285714286,-10,2.610526316,91.36842105,33,2741,0
8260,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,252.48,252.48,252.48,0,0,0,252.48,252.48,252.48,6.49,6.49,6.49,35,4.4,35,29,6,0.885714286,0.815789474,3.2,112,3.485714286,122,-0.285714286,-10,2.610526316,91.36842105,33,2739,0
35528,249.99,45,18,204.99,249.99,249.99,249.99,0.18,0.18,0.18,204.99,204.99,204.99,0,0,0,229.98,229.98,229.98,0,0,0,229.98,229.98,229.98,0,0,0,35,4.4,35,29,6,0.885714286,0.815789474,3.2,112,3.485714286,122,-0.285714286,-10,2.610526316,91.36842105,33,2739,0
22964,249.99,54.5,22,195.49,249.99,249.99,249.99,0.22,0.22,0.22,195.49,195.49,195.49,0,0,0,229.96,229.96,229.96,0,0,0,229.96,229.96,229.96,0,0,0,35,4.4,35,29,6,0.885714286,0.815789474,3.2,112,3.485714286,122,-0.285714286,-10,2.610526316,91.36842105,33,2736,0
